180,"(1220.9511, 1181.0068)","(1015.8514, 1317.2692)",0,True,18,"(1220.9511, 1181.0068)","(1015.8514, 1317.2692)",1,True,18,"(1220.9511, 1181.0068)","(1015.8514, 1317.2692)",2,True,18
183,"(1602.7201, 1145.6617)","(1448.85, 825.2472)",0,True,36,"(1602.7201, 1145.6617)","(1448.85, 825.2472)",1,True,36,"(1602.7201, 1145.6617)","(1448.85, 825.2472)",2,True,36
185,"(949.6859, 917.3812)","(1318.4717, 879.8368)",0,True,51,"(949.6859, 917.3812)","(1318.4717, 879.8368)",1,True,51,"(949.6859, 917.3812)","(1318.4717, 879.8368)",2,True,51
189,"(968.9842, 1201.0016)","(1257.913, 840.0613)",0,True,30,"(968.9842, 1201.0016)","(1257.913, 840.0613)",1,True,30,"(968.9842, 1201.0016)","(1257.913, 840.0613)",2,True,30
200,"(1428.6469, 1392.9826)","(1565.3017, 1026.5662)",0,True,10,"(1428.6469, 1392.9826)","(1565.3017, 1026.5662)",1,True,10,"(1428.6469, 1392.9826)","(1565.3017, 1026.5662)",2,True,10
201,"(941.1946, 944.7847)","(971.6859, 1304.1188)",0,True,49,"(941.1946, 944.7847)","(971.6859, 1304.1188)",1,True,49,"(941.1946, 944.7847)","(971.6859, 1304.1188)",2,True,49
203,"(1385.7997, 1267.7378)","(951.6398, 961.5984)",0,True,15,"(1385.7997, 1267.7378)","(951.6398, 961.5984)",1,True,15,"(1385.7997, 1267.7378)","(951.6398, 961.5984)",2,True,15
210,"(1361.2317, 831.3248)","(1202.8284, 999.2033)",0,True,61,"(1361.2317, 831.3248)","(1202.8284, 999.2033)",1,True,61,"(1361.2317, 831.3248)","(1202.8284, 999.2033)",2,True,61
212,"(1181.3351, 1154.7544)","(1333.6446, 1386.3295)",0,True,22,"(1181.3351, 1154.7544)","(1333.6446, 1386.3295)",1,True,22,"(1181.3351, 1154.7544)","(1333.6446, 1386.3295)",2,True,22
213,"(1050.7217, 1119.1125)","(1152.3099, 1146.834)",0,True,30,"(1050.7217, 1119.1125)","(1152.3099, 1146.834)",1,True,30,"(1050.7217, 1119.1125)","(1152.3099, 1146.834)",2,True,30
216,"(1477.1081, 1175.0133)","(1289.7117, 881.7903)",0,True,26,"(1477.1081, 1175.0133)","(1289.7117, 881.7903)",1,True,26,"(1477.1081, 1175.0133)","(1289.7117, 881.7903)",2,True,26
218,"(1220.8268, 1240.4345)","(1257.913, 840.0613)",0,True,14,"(1220.8268, 1240.4345)","(1257.913, 840.0613)",1,True,14,"(1220.8268, 1240.4345)","(1257.913, 840.0613)",2,True,14
220,"(1492.6592, 822.2084)","(903.4759, 1137.2339)",0,True,54,"(1492.6592, 822.2084)","(903.4759, 1137.2339)",1,True,54,"(1492.6592, 822.2084)","(903.4759, 1137.2339)",2,True,54
225,"(1198.8723, 845.636)","(1274.3603, 1379.3821)",0,True,58,"(1198.8723, 845.636)","(1274.3603, 1379.3821)",1,True,58,"(1198.8723, 845.636)","(1274.3603, 1379.3821)",2,True,58
226,"(1383.8768, 1298.6884)","(1217.0293, 1195.3785)",0,True,13,"(1383.8768, 1298.6884)","(1217.0293, 1195.3785)",1,True,13,"(1383.8768, 1298.6884)","(1217.0293, 1195.3785)",2,True,13
231,"(1363.5108, 1015.5511)","(1460.676, 1008.6379)",0,True,35,"(1363.5108, 1015.5511)","(1460.676, 1008.6379)",1,True,35,"(1363.5108, 1015.5511)","(1460.676, 1008.6379)",2,True,35
232,"(951.6398, 961.5984)","(1123.2847, 1138.9135)",0,True,49,"(951.6398, 961.5984)","(1123.2847, 1138.9135)",1,True,49,"(951.6398, 961.5984)","(1123.2847, 1138.9135)",2,True,49
234,"(1437.7687, 1305.7022)","(936.949, 958.4865)",0,True,16,"(1437.7687, 1305.7022)","(936.949, 958.4865)",1,True,16,"(1437.7687, 1305.7022)","(936.949, 958.4865)",2,True,16
240,"(1445.558, 1009.0937)","(1583.7175, 1086.581)",0,True,35,"(1445.558, 1009.0937)","(1583.7175, 1086.581)",1,True,35,"(1445.558, 1009.0937)","(1583.7175, 1086.581)",2,True,35
243,"(1391.0518, 1165.0915)","(1633.8642, 1230.0787)",0,True,22,"(1391.0518, 1165.0915)","(1633.8642, 1230.0787)",1,True,22,"(1391.0518, 1165.0915)","(1633.8642, 1230.0787)",2,True,22
246,"(1463.4531, 824.2343)","(847.212, 1254.9082)",0,True,56,"(1463.4531, 824.2343)","(847.212, 1254.9082)",1,True,56,"(1463.4531, 824.2343)","(847.212, 1254.9082)",2,True,56
248,"(1125.0713, 852.6043)","(874.8729, 1265.8439)",0,True,63,"(1125.0713, 852.6043)","(874.8729, 1265.8439)",1,True,63,"(1125.0713, 852.6043)","(874.8729, 1265.8439)",2,True,63
249,"(1381.9538, 1329.639)","(1201.6864, 1367.0137)",0,True,11,"(1381.9538, 1329.639)","(1201.6864, 1367.0137)",1,True,11,"(1381.9538, 1329.639)","(1201.6864, 1367.0137)",2,True,11
